date,close,volume,open,high,low,daily_return,ticker,adj_close
2010-03-01,29.8557,137312041.0,29.3928,29.9286,29.35,,AAPL,
2010-03-02,29.8357,141486282.0,29.99,30.1186,29.6771,-0.06698888319482954,AAPL,
2010-03-03,29.9043,92846488.0,29.8486,29.9814,29.7057,0.22992589414694287,AAPL,
2010-03-04,30.1014,89591907.0,29.8971,30.1314,29.8043,0.6591025370933368,AAPL,
2010-03-05,31.2786,224647427.0,30.7057,31.3857,30.6614,3.910781558332821,AAPL,
2010-03-08,31.2971,107326832.0,31.43,31.4414,31.1786,0.0591458697000391,AAPL,
2010-03-09,31.86,229908139.0,31.1871,32.1428,31.1271,1.7985691965070272,AAPL,
2010-03-10,32.12,148907755.0,31.9757,32.2114,31.8857,0.8160703075957176,AAPL,
2010-03-11,32.2143,101209110.0,31.9871,32.2143,31.9028,0.2935865504358759,AAPL,
2010-03-12,32.3714,103841951.0,32.4814,32.5328,32.25,0.4876716240924006,AAPL,
2010-03-15,31.9771,123005437.0,32.1971,32.2143,31.4643,-1.218050501368495,AAPL,
2010-03-16,32.0643,111581993.0,32.0257,32.14,31.7871,0.27269514746490753,AAPL,
2010-03-17,32.0171,112501374.0,32.1286,32.35,31.8957,-0.147204211537455,AAPL,
2010-03-18,32.0928,85156076.0,32.0143,32.1428,31.8014,0.23643615442996424,AAPL,
2010-03-19,31.75,139669082.0,32.1128,32.1771,31.6043,-1.0681523581613228,AAPL,
2010-03-22,32.1071,113828294.0,31.4957,32.2857,31.45,1.1247244094488185,AAPL,
2010-03-23,32.6228,150384825.0,32.2343,32.6828,32.0143,1.6061867935752483,AAPL,
2010-03-24,32.7671,149419805.0,32.52,32.8857,32.5014,0.4423286781024327,AAPL,
2010-03-25,32.3786,135463131.0,32.9886,32.9957,32.3214,-1.185640474744487,AAPL,
2010-03-26,32.9857,159986658.0,32.7071,33.1357,32.65,1.8750038605745756,AAPL,
2010-03-29,33.1986,130887089.0,33.2857,33.41,33.0886,0.6454312020057085,AAPL,
2010-03-30,33.6921,131326339.0,33.8004,33.9257,33.4643,1.4865084672245343,AAPL,
2010-03-31,33.5714,107438412.0,33.6414,33.8014,33.4943,-0.3582442174872025,AAPL,
2010-04-01,33.71,150568295.0,33.9271,34.1043,33.25,0.4128514151926943,AAPL,
2010-04-05,34.07,170363601.0,33.5678,34.0728,33.5386,1.067932364283597,AAPL,
2010-04-06,34.22,111431983.0,34.0286,34.32,33.8571,0.44027003228646056,AAPL,
2010-04-07,34.3714,156909177.0,34.2457,34.56,34.0943,0.4424313267095359,AAPL,
2010-04-08,34.2786,142899723.0,34.3486,34.5057,34.0057,-0.26999191188024074,AAPL,
2010-04-09,34.5414,83443105.0,34.49,34.5557,34.3514,0.7666590817594798,AAPL,
2010-04-12,34.6128,83236885.0,34.6,34.7243,34.5443,0.2067084715732248,AAPL,
2010-04-13,34.6328,76184103.0,34.5514,34.6857,34.4443,0.05778209217399688,AAPL,
2010-04-14,35.0986,100827750.0,35.04,35.1157,34.8671,1.344967776212136,AAPL,
2010-04-15,35.56,93876048.0,35.1114,35.5757,35.0728,1.314582348013893,AAPL,
2010-04-16,35.3428,187514026.0,35.51,35.8771,34.9357,-0.6107986501687424,AAPL,
2010-04-19,35.2957,141571402.0,35.29,35.4128,34.5386,-0.133266181513636,AAPL,
2010-04-20,34.9414,177792843.0,35.5057,35.6071,34.7078,-1.0038049960759965,AAPL,
2010-04-21,37.0314,245072944.0,36.9721,37.1786,36.5328,5.981443216356519,AAPL,
2010-04-22,38.0671,197849809.0,36.8914,38.1071,36.6,2.7968156753457984,AAPL,
2010-04-23,38.69,198906390.0,38.2843,38.8828,38.1428,1.636321127692919,AAPL,
2010-04-26,38.5,119378876.0,38.84,38.9228,38.3128,-0.4910829671749717,AAPL,
2010-04-27,37.4343,176955713.0,38.1814,38.2628,37.2171,-2.7680519480519417,AAPL,
2010-04-28,37.3714,189375537.0,37.6071,37.7143,36.63,-0.16802771789508064,AAPL,
2010-04-29,38.3771,139522502.0,37.5743,38.5714,37.43,2.6910953295835816,AAPL,
2010-04-30,37.2986,135421971.0,38.4728,38.6528,37.2857,-2.8102696660247894,AAPL,
2010-05-03,38.05,113343684.0,37.6914,38.2686,37.5543,2.0145528250389955,AAPL,
2010-05-04,36.9543,180620564.0,37.5557,37.6128,36.6786,-2.8796320630748884,AAPL,
2010-05-05,36.5693,220353346.0,36.1471,36.8771,35.5328,-1.041827338090573,AAPL,
2010-05-06,35.1786,319584886.0,36.2614,36.8928,28.4643,-3.8029166541333703,AAPL,
2010-05-07,33.6943,418562326.0,34.8157,35.2243,32.1728,-4.219326522374411,AAPL,
2010-05-10,36.2843,245539284.0,35.75,36.3786,35.5043,7.6867600751462595,AAPL,
2010-05-11,36.6457,212068004.0,35.9771,37.1271,35.7857,0.9960230733402575,AAPL,
2010-05-12,37.4414,163385299.0,37.035,37.59,36.9571,2.171332516502633,AAPL,
2010-05-13,36.9086,149704075.0,37.6028,37.8571,36.6286,-1.4230237117201838,AAPL,
2010-05-14,36.26,189368537.0,36.4521,36.64,35.6428,-1.7573140135361487,AAPL,
2010-05-17,36.3171,190413707.0,36.3857,36.5971,35.3871,0.15747380033095393,AAPL,
2010-05-18,36.0514,194856888.0,36.7114,36.9357,35.7514,-0.7316112795349938,AAPL,
2010-05-19,35.4771,256089547.0,35.6428,36.1314,34.9786,-1.5930033230332263,AAPL,
2010-05-20,33.9657,319497456.0,34.5543,34.8357,33.7443,-4.260212926084717,AAPL,
2010-05-21,34.6171,305744272.0,33.26,34.9286,33.05,1.9178170919486481,AAPL,
2010-05-24,35.2514,188078156.0,35.3257,35.8428,35.18,1.8323314200207275,AAPL,
2010-05-25,35.0314,261342838.0,34.1928,35.2514,33.88,-0.6240886886761943,AAPL,
2010-05-26,34.8727,212125404.0,35.7257,36.0186,34.8214,-0.4530221458462824,AAPL,
2010-05-27,36.1928,165270400.0,35.8,36.27,35.5871,3.7854826268112207,AAPL,
